period,hour,storage,inflow,demand,pump_flow,actual_supply,shortage,supply_rate,energy_kwh,electricity_price,energy_cost,reservoir_status,capacity_usage
t20,20,36683.1187644478,0.0,97.7163859753386,97.7163859753418,97.7163859753386,0.0,100.0,12.703130176794433,1.2,15.243756212153318,正常,65.14425731689452
t21,21,36628.1187644478,0.0,55.0,55.0,55.0,0.0,100.0,7.15,1.2,8.58,正常,36.666666666666664
t22,22,36573.1187644478,0.0,55.0,55.0,55.0,0.0,100.0,7.15,0.4,2.8600000000000003,正常,36.666666666666664
t23,23,36533.1187644478,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08,正常,26.666666666666668
t24,24,36503.3687644478,0.0,29.75,29.75,29.75,0.0,100.0,3.8675,0.4,1.5470000000000002,正常,19.833333333333332
t25,25,36473.6187644478,0.0,29.75,29.75,29.75,0.0,100.0,3.8675,0.4,1.5470000000000002,正常,19.833333333333332
t26,26,36443.8687644478,0.0,29.75,29.75,29.75,0.0,100.0,3.8675,0.4,1.5470000000000002,正常,19.833333333333332
t27,27,36414.1187644478,0.0,29.75,29.75,29.75,0.0,100.0,3.8675,0.4,1.5470000000000002,正常,19.833333333333332
t28,28,36384.3687644478,0.0,29.75,29.75,29.75,0.0,100.0,3.8675,0.4,1.5470000000000002,正常,19.833333333333332
t29,29,36354.6187644478,0.0,29.75,29.75,29.75,0.0,100.0,3.8675,0.4,1.5470000000000002,正常,19.833333333333332
t30,30,36305.7437644478,0.0,48.875,48.875,48.875,0.0,100.0,6.35375,0.4,2.5415,正常,32.58333333333333
t31,31,36242.8682927531,0.0,62.87547169475478,62.8754716947515,62.87547169475478,0.0,100.0,8.173811320317697,0.8,6.539049056254157,正常,41.91698112983433
t32,32,36179.1182927531,0.0,63.75,63.75,63.75,0.0,100.0,8.2875,1.2,9.944999999999999,正常,42.5
t33,33,36115.3682927531,0.0,63.75,63.75,63.75,0.0,100.0,8.2875,1.2,9.944999999999999,正常,42.5
t34,34,36051.6182927531,0.0,63.75,63.75,63.75,0.0,100.0,8.2875,1.2,9.944999999999999,正常,42.5
t35,35,35996.3682927531,0.0,55.25,55.25,55.25,0.0,100.0,7.1825,1.2,8.619,正常,36.833333333333336
t36,36,35941.1182927531,0.0,55.25,55.25,55.25,0.0,100.0,7.1825,0.8,5.746,正常,36.833333333333336
t37,37,35881.6182927531,0.0,59.5,59.5,59.5,0.0,100.0,7.735,0.8,6.188000000000001,正常,39.666666666666664
t38,38,35822.1182927531,0.0,59.5,59.5,59.5,0.0,100.0,7.735,0.8,6.188000000000001,正常,39.666666666666664
t39,39,35762.6182927531,0.0,59.5,59.5,59.5,0.0,100.0,7.735,0.8,6.188000000000001,正常,39.666666666666664
t40,40,35703.1182927531,0.0,59.5,59.5,59.5,0.0,100.0,7.735,0.8,6.188000000000001,正常,39.666666666666664
t41,41,35643.6182927531,0.0,59.5,59.5,59.5,0.0,100.0,7.735,0.8,6.188000000000001,正常,39.666666666666664
t42,42,35574.3598652277,0.0,69.2584275253098,69.2584275253175,69.2584275253098,0.0,100.0,9.003595578291275,1.2,10.80431469394953,正常,46.172285016878334
t43,43,35496.8286423075,0.0,77.53122292025697,77.5312229202536,77.53122292025697,0.0,100.0,10.079058979632968,1.2,12.094870775559562,正常,51.68748194683573
t44,44,35413.7697142285,0.0,83.0589280790378,83.0589280790373,83.0589280790378,0.0,100.0,10.79766065027485,1.2,12.95719278032982,正常,55.3726187193582
t45,45,35367.0197142285,0.0,46.75,46.75,46.75,0.0,100.0,6.077500000000001,1.2,7.293,正常,31.166666666666664
t46,46,35320.2697142285,0.0,46.75,46.75,46.75,0.0,100.0,6.077500000000001,0.4,2.4310000000000005,正常,31.166666666666664
t47,47,35286.2697142285,0.0,34.0,34.0,34.0,0.0,100.0,4.42,0.4,1.768,正常,22.666666666666664
